category,developer,name,platforms,price,release_date,reviews_quan,score,url
"Indie Games,Craft The World,Downloadable Content",Dekovir Entertainment,Craft The World - Heart of Evil,windows mac ,140,"27 Dec, 2020",54,,https://store.steampowered.com/app/1509120/Craft_The_World__Heart_of_Evil/?snr=1_7_7_151_150_2
Casual Games,William at Oxford,VR Parallel World,windows ,129,"14 Mar, 2021",26,,https://store.steampowered.com/app/1523360/VR_Parallel_World/?snr=1_7_7_151_150_2
"Adventure Games,Tbjbu2 Franchise",Tbjbu2,Alight: Lunar Survival,windows ,,Q2 2023,,,https://store.steampowered.com/app/2084210/Alight_Lunar_Survival/?snr=1_7_7_151_150_2
Strategy Games,Petroglyph,8-Bit Hordes,windows ,174,"12 Aug, 2016",444,,https://store.steampowered.com/app/497850/8Bit_Hordes/?snr=1_7_7_151_150_2
Free to Play Games,Transhuman Design,King Arthur's Gold,windows linux ,29,"5 Nov, 2013","4,943",81,https://store.steampowered.com/app/219830/King_Arthurs_Gold/?snr=1_7_7_151_150_2
"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",Keen Games,Portal Knights - Portal Pioneer Pack,windows ,47,"20 Jul, 2017",16,,https://store.steampowered.com/app/617090/Portal_Knights__Portal_Pioneer_Pack/?snr=1_7_7_151_150_2
"Indie Games,Bridge Constructor Franchise Franchise",ClockStone,Bridge Constructor,windows mac linux ,49,"16 Oct, 2013",705,,https://store.steampowered.com/app/250460/Bridge_Constructor/?snr=1_7_7_151_150_2
Massively Multiplayer Games,KULTURA Ex Machina,Occupy White Walls,windows ,,"8 Jul, 2022","1,213",,https://store.steampowered.com/app/876160/Occupy_White_Walls/?snr=1_7_7_151_150_2
"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",Keen Games,Portal Knights - Gold Throne Pack,windows ,59,"20 Jul, 2017",20,,https://store.steampowered.com/app/617100/Portal_Knights__Gold_Throne_Pack/?snr=1_7_7_151_150_2
Video Production,Orange View Limited,iTop Screen Recorder for Steam,windows ,465,"17 May, 2021",70,,https://store.steampowered.com/app/1611360/iTop_Screen_Recorder_for_Steam/?snr=1_7_7_151_150_2
Indie Games,BekkerDev Studio,Deep Despair,windows ,38,"17 Feb, 2020",226,,https://store.steampowered.com/app/1241040/Deep_Despair/?snr=1_7_7_151_150_2
Strategy Games,Reality Pump Studios,Earth 2150 Trilogy,windows mac linux ,42,"20 May, 2000",370,78,https://store.steampowered.com/app/253880/Earth_2150_Trilogy/?snr=1_7_7_151_150_2
"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",Keen Games,Portal Knights - Lobot Box,windows ,47,"18 May, 2017",10,,https://store.steampowered.com/app/617120/Portal_Knights__Lobot_Box/?snr=1_7_7_151_150_2
Action Games,epic dreams,Madness Cubed,windows ,36,"12 May, 2016",763,,https://store.steampowered.com/app/453270/Madness_Cubed/?snr=1_7_7_151_150_2
"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",Keen Games,Portal Knights - Box of Grumpy Rings,windows ,49,"13 Sep, 2018",12,,https://store.steampowered.com/app/851870/Portal_Knights__Box_of_Grumpy_Rings/?snr=1_7_7_151_150_2
"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",Keen Games,Portal Knights - Emoji Box,windows ,47,"18 May, 2017",13,,https://store.steampowered.com/app/617140/Portal_Knights__Emoji_Box/?snr=1_7_7_151_150_2
Indie Games,MURA Interactive,DubWars,windows mac linux ,49,"19 Jul, 2016",156,,https://store.steampowered.com/app/290000/DubWars/?snr=1_7_7_151_150_2
